n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,wind_p50_era5,wind_p50_conus404,wind_p50_difference,wind_p50_percent_bias,wind_p75_era5,wind_p75_conus404,wind_p75_difference,wind_p75_percent_bias,wind_p90_era5,wind_p90_conus404,wind_p90_difference,wind_p90_percent_bias,wind_p95_era5,wind_p95_conus404,wind_p95_difference,wind_p95_percent_bias,wind_p99_era5,wind_p99_conus404,wind_p99_difference,wind_p99_percent_bias,era5_wind_ge_5ms_frequency,conus404_wind_ge_5ms_frequency,wind_ge_5ms_frequency_difference,era5_wind_ge_10ms_frequency,conus404_wind_ge_10ms_frequency,wind_ge_10ms_frequency_difference,era5_wind_ge_15ms_frequency,conus404_wind_ge_15ms_frequency,wind_ge_15ms_frequency_difference,era5_wind_ge_20ms_frequency,conus404_wind_ge_20ms_frequency,wind_ge_20ms_frequency_difference,year,variable,variable_name,units,metric_type
366,1.002349,0.784724,-0.217625,0.415907,0.504628,0.598587,0.000000,0.358306,0.924620,366,366,-0.217625,0.545768,0.453781,0.831453,0.185792,0.000006,0.933865,0.708701,-0.225163,-24.110928,1.326117,1.063257,-0.262861,-19.821819,1.763741,1.386682,-0.377059,-21.378374,1.960552,1.592311,-0.368241,-18.782503,2.411563,2.139796,-0.271766,-11.269308,0.933865,0.708701,-0.225163,-24.110928,1.326117,1.063257,-0.262861,-19.821819,1.763741,1.386682,-0.377059,-21.378374,1.960552,1.592311,-0.368241,-18.782503,2.411563,2.139796,-0.271766,-11.269308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,1.009631,0.807924,-0.201707,0.397772,0.488931,0.621396,0.000000,0.386133,0.879728,365,365,-0.201707,0.555775,0.438915,0.789734,0.180822,0.000012,0.915882,0.743223,-0.172659,-18.851681,1.338433,1.135207,-0.203226,-15.183885,1.814967,1.399629,-0.415337,-22.884022,2.094418,1.567115,-0.527303,-25.176580,2.439207,1.933598,-0.505609,-20.728420,0.915882,0.743223,-0.172659,-18.851681,1.338433,1.135207,-0.203226,-15.183885,1.814967,1.399629,-0.415337,-22.884022,2.094418,1.567115,-0.527303,-25.176580,2.439207,1.933598,-0.505609,-20.728420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1981,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.876021,0.775924,-0.100097,0.399178,0.486431,0.530868,0.000000,0.281821,0.943333,365,365,-0.100097,0.515652,0.462514,0.896950,0.112329,0.019926,0.799669,0.700752,-0.098918,-12.369820,1.153313,1.031459,-0.121854,-10.565589,1.557320,1.371948,-0.185372,-11.903285,1.922011,1.563767,-0.358243,-18.638977,2.310902,2.109482,-0.201420,-8.716080,0.799669,0.700752,-0.098918,-12.369820,1.153313,1.031459,-0.121854,-10.565589,1.557320,1.371948,-0.185372,-11.903285,1.922011,1.563767,-0.358243,-18.638977,2.310902,2.109482,-0.201420,-8.716080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1982,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.895398,0.744098,-0.151301,0.397364,0.488265,0.543103,0.000000,0.294961,0.962344,365,365,-0.151301,0.507371,0.459989,0.906613,0.161644,0.000140,0.825110,0.669316,-0.155794,-18.881563,1.174441,1.015746,-0.158696,-13.512450,1.561327,1.385610,-0.175718,-11.254379,1.760753,1.595440,-0.165313,-9.388779,2.340695,1.988373,-0.352322,-15.052028,0.825110,0.669316,-0.155794,-18.881563,1.174441,1.015746,-0.158696,-13.512450,1.561327,1.385610,-0.175718,-11.254379,1.760753,1.595440,-0.165313,-9.388779,2.340695,1.988373,-0.352322,-15.052028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1983,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.940964,0.778684,-0.162279,0.409248,0.495159,0.488559,0.000000,0.238690,1.030806,366,366,-0.162279,0.480361,0.442478,0.921136,0.169399,0.000053,0.917033,0.728070,-0.188963,-20.605871,1.226545,1.087293,-0.139252,-11.353212,1.547954,1.336790,-0.211164,-13.641499,1.750627,1.540230,-0.210397,-12.018366,2.135365,1.947954,-0.187412,-8.776555,0.917033,0.728070,-0.188963,-20.605871,1.226545,1.087293,-0.139252,-11.353212,1.547954,1.336790,-0.211164,-13.641499,1.750627,1.540230,-0.210397,-12.018366,2.135365,1.947954,-0.187412,-8.776555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1984,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.996800,0.793410,-0.203391,0.441991,0.553453,0.606183,0.000000,0.367457,0.874988,365,365,-0.203391,0.632526,0.492369,0.778417,0.134247,0.002751,0.863955,0.706890,-0.157065,-18.179800,1.302848,1.074329,-0.228519,-17.539932,1.883756,1.525024,-0.358732,-19.043463,2.196701,1.783489,-0.413212,-18.810575,2.983285,2.053606,-0.929679,-31.162928,0.863955,0.706890,-0.157065,-18.179800,1.302848,1.074329,-0.228519,-17.539932,1.883756,1.525024,-0.358732,-19.043463,2.196701,1.783489,-0.413212,-18.810575,2.983285,2.053606,-0.929679,-31.162928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1985,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.902310,0.725485,-0.176825,0.402494,0.507552,0.478893,0.000000,0.229339,1.028852,365,365,-0.176825,0.493318,0.433202,0.878138,0.169863,0.000051,0.822365,0.665558,-0.156807,-19.067791,1.188783,0.997976,-0.190807,-16.050587,1.567117,1.324833,-0.242284,-15.460475,1.858248,1.572485,-0.285763,-15.378066,2.300082,1.861234,-0.438847,-19.079645,0.822365,0.665558,-0.156807,-19.067791,1.188783,0.997976,-0.190807,-16.050587,1.567117,1.324833,-0.242284,-15.460475,1.858248,1.572485,-0.285763,-15.378066,2.300082,1.861234,-0.438847,-19.079645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1986,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.959669,0.889280,-0.070388,0.351767,0.420990,0.693671,0.000000,0.481180,0.764291,365,365,-0.070388,0.550824,0.504011,0.915012,0.106849,0.030924,0.875440,0.803718,-0.071723,-8.192748,1.285728,1.169729,-0.115999,-9.022080,1.676654,1.563883,-0.112771,-6.725955,1.970600,1.895527,-0.075072,-3.809616,2.576406,2.222107,-0.354300,-13.751696,0.875440,0.803718,-0.071723,-8.192748,1.285728,1.169729,-0.115999,-9.022080,1.676654,1.563883,-0.112771,-6.725955,1.970600,1.895527,-0.075072,-3.809616,2.576406,2.222107,-0.354300,-13.751696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1987,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.972530,0.807043,-0.165487,0.391901,0.474190,0.617873,0.000000,0.381768,0.883303,366,366,-0.165487,0.536837,0.470618,0.876651,0.155738,0.000272,0.881562,0.719880,-0.161682,-18.340368,1.273178,1.073338,-0.199840,-15.696175,1.679979,1.488837,-0.191142,-11.377631,2.028858,1.692249,-0.336609,-16.591072,2.622426,2.179323,-0.443102,-16.896652,0.881562,0.719880,-0.161682,-18.340368,1.273178,1.073338,-0.199840,-15.696175,1.679979,1.488837,-0.191142,-11.377631,2.028858,1.692249,-0.336609,-16.591072,2.622426,2.179323,-0.443102,-16.896652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1988,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.907409,0.749705,-0.157704,0.398656,0.485219,0.563442,0.000000,0.317467,0.907811,365,365,-0.157703,0.534494,0.425971,0.796962,0.117808,0.012558,0.811336,0.688450,-0.122886,-15.146101,1.195494,1.024436,-0.171058,-14.308539,1.636167,1.318384,-0.317783,-19.422409,1.928054,1.528735,-0.399319,-20.710985,2.589737,1.951241,-0.638496,-24.654861,0.811336,0.688450,-0.122886,-15.146101,1.195494,1.024436,-0.171058,-14.308539,1.636167,1.318384,-0.317783,-19.422409,1.928054,1.528735,-0.399319,-20.710985,2.589737,1.951241,-0.638496,-24.654861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1989,wind_speed,10m Wind Speed,m/s,derived_wind_speed
