n_era5,n_conus404,era5_mean,conus404_mean,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,variable,variable_name,units,metric_type,resolution_note
296100,904930,286.539093,286.746063,0.206970,10.690976,7.318513,0.684550,0.119230,0.000000,288.664856,287.336731,-1.328125,-0.460092,294.582031,292.583191,-1.998840,-0.678534,299.392029,296.527374,-2.864655,-0.956824,300.882904,297.566010,-3.316895,-1.102387,303.610504,298.480682,-5.129822,-1.689606,1980,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,279.782990,280.087341,0.304352,10.395094,8.232942,0.792003,0.114610,0.000000,280.645111,278.879822,-1.765289,-0.629011,287.895782,287.497345,-0.398438,-0.138396,293.237457,292.177979,-1.059479,-0.361304,295.727905,293.596558,-2.131348,-0.720712,297.326080,294.546936,-2.779144,-0.934713,1980,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,956.552002,957.706299,1.154297,72.347443,73.747299,1.019349,0.058100,0.000000,983.984802,987.291260,3.306458,0.336027,1014.660522,1015.601501,0.940979,0.092738,1017.458923,1017.121094,-0.337830,-0.033203,1018.325867,1017.442444,-0.883423,-0.086752,1019.945679,1018.090149,-1.855530,-0.181924,1980,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.541017,0.393381,-0.147636,1.557724,1.385189,0.889239,0.073300,0.000000,0.568264,0.466300,-0.101964,-17.943073,1.315889,1.070040,-0.245848,-18.683054,2.326683,2.041920,-0.284763,-12.238995,3.173277,2.596853,-0.576423,-18.164928,4.733257,3.556303,-1.176954,-24.865618,1980,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,-0.112813,-0.220510,-0.107697,1.802444,1.505850,0.835449,0.114820,0.000000,0.180805,0.056040,-0.124766,-69.005508,0.789365,0.499983,-0.289382,-36.660149,1.560985,1.025011,-0.535974,-34.335613,2.168275,1.335055,-0.833219,-38.427761,3.574048,1.958137,-1.615911,-45.212337,1980,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106106,0.736698,-0.369408,1.150320,0.890817,0.774408,0.201720,0.000000,0.865100,0.408281,-0.456819,-52.805332,1.682411,1.106878,-0.575532,-34.208797,2.707650,2.152638,-0.555012,-20.497906,3.576779,2.580269,-0.996510,-27.860531,4.655518,3.518519,-1.136998,-24.422594,1980,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.824341,287.015411,0.191071,9.910414,6.811808,0.687338,0.111340,0.000000,288.742828,287.368591,-1.374237,-0.475938,294.394897,292.385803,-2.009094,-0.682449,298.814362,296.360413,-2.453949,-0.821229,300.362701,297.342834,-3.019867,-1.005407,302.131409,298.134552,-3.996857,-1.322887,1981,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,280.304596,280.746185,0.441589,9.860492,7.592828,0.770025,0.134360,0.000000,281.278748,279.868042,-1.410706,-0.501533,287.923584,287.495361,-0.428223,-0.148728,293.176453,291.787384,-1.389069,-0.473800,295.708374,293.170654,-2.537720,-0.858183,297.345123,294.129517,-3.215607,-1.081439,1981,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,956.463440,957.627930,1.164490,72.242050,73.667694,1.019734,0.070030,0.000000,983.886353,987.170959,3.284607,0.333840,1014.157959,1015.451416,1.293457,0.127540,1017.352356,1017.045715,-0.306641,-0.030141,1018.781250,1017.340637,-1.440613,-0.141406,1020.868835,1018.069214,-2.799622,-0.274239,1981,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.524736,0.391406,-0.133330,1.694813,1.404872,0.828924,0.068060,0.000000,0.536900,0.488980,-0.047920,-8.925340,1.348532,1.087278,-0.261254,-19.373211,2.373132,2.047911,-0.325221,-13.704279,3.396643,2.558435,-0.838208,-24.677547,5.213392,3.450195,-1.763197,-33.820530,1981,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,-0.161024,-0.273134,-0.112110,1.797688,1.566482,0.871387,0.124670,0.000000,0.139462,0.065176,-0.074286,-53.266232,0.806614,0.456050,-0.350565,-43.461243,1.520538,0.985953,-0.534585,-35.157604,2.063364,1.291268,-0.772095,-37.419258,3.153326,1.921396,-1.231930,-39.067638,1981,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106045,0.737640,-0.368405,1.150296,0.891951,0.775409,0.201550,0.000000,0.864980,0.408680,-0.456300,-52.752701,1.682294,1.108200,-0.574094,-34.125641,2.707469,2.156048,-0.551420,-20.366640,3.576682,2.584502,-0.992180,-27.740240,4.655518,3.521620,-1.133897,-24.355988,1981,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.194946,286.487915,0.292969,10.842720,7.584173,0.699471,0.115570,0.000000,288.548676,287.047302,-1.501373,-0.520319,294.512543,292.737701,-1.774841,-0.602637,298.671082,296.746063,-1.925018,-0.644528,300.121155,297.864471,-2.256683,-0.751924,302.268555,298.678009,-3.590546,-1.187866,1982,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,279.969482,280.253418,0.283936,10.708315,8.418703,0.786184,0.129730,0.000000,281.541138,279.196228,-2.344910,-0.832883,288.319000,287.486664,-0.832336,-0.288686,293.098755,292.731049,-0.367706,-0.125455,295.657654,294.061951,-1.595703,-0.539713,296.962280,294.965851,-1.996429,-0.672284,1982,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,956.807800,957.951294,1.143494,72.878036,74.273346,1.019146,0.057650,0.000000,984.640015,987.923767,3.283752,0.333498,1014.935608,1015.991821,1.056213,0.104067,1018.169922,1018.045654,-0.124268,-0.012205,1019.370605,1018.561890,-0.808716,-0.079335,1021.348572,1018.967346,-2.381226,-0.233145,1982,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.313554,0.177824,-0.135730,1.698063,1.516364,0.892996,0.063860,0.000000,0.451795,0.385163,-0.066632,-14.748363,1.218578,0.977149,-0.241428,-19.812313,2.170576,1.803712,-0.366864,-16.901699,2.882766,2.240813,-0.641953,-22.268635,4.519112,3.566256,-0.952856,-21.085033,1982,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.030236,-0.146084,-0.176319,1.710947,1.522599,0.889916,0.127110,0.000000,0.307616,0.202646,-0.104969,-34.123528,0.911099,0.595561,-0.315538,-34.632710,1.616945,1.021990,-0.594955,-36.795010,2.157268,1.315386,-0.841882,-39.025394,3.261283,2.016326,-1.244956,-38.173824,1982,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106045,0.737640,-0.368405,1.150296,0.891951,0.775410,0.201550,0.000000,0.864980,0.408680,-0.456300,-52.752701,1.682294,1.108200,-0.574094,-34.125641,2.707469,2.156048,-0.551420,-20.366640,3.576682,2.584502,-0.992180,-27.740240,4.655518,3.521620,-1.133897,-24.355988,1982,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.529358,286.796997,0.267639,10.507958,7.011343,0.667241,0.120230,0.000000,288.765015,287.150482,-1.614532,-0.559116,294.734894,292.455902,-2.278992,-0.773234,298.996155,296.370514,-2.625641,-0.878152,300.329285,297.532745,-2.796539,-0.931158,302.228882,298.423706,-3.805176,-1.259038,1983,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,280.423370,280.901001,0.477631,10.056868,7.641334,0.759812,0.124880,0.000000,281.762817,279.888367,-1.874451,-0.665258,288.176636,287.680267,-0.496368,-0.172245,293.125763,292.060059,-1.065704,-0.363566,295.598511,293.419556,-2.178955,-0.737133,297.191864,294.452667,-2.739197,-0.921693,1983,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,955.946899,957.067627,1.120728,72.610695,73.982971,1.018899,0.060640,0.000000,983.709473,986.885498,3.176025,0.322862,1013.757141,1015.004150,1.247009,0.123009,1017.052795,1016.442444,-0.610352,-0.060012,1018.043213,1016.901550,-1.141663,-0.112143,1019.657166,1017.616577,-2.040588,-0.200125,1983,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.377941,0.273181,-0.104761,1.546820,1.296647,0.838266,0.066450,0.000000,0.355359,0.314514,-0.040844,-11.493869,1.170648,0.902782,-0.267866,-22.881838,2.158298,1.732429,-0.425869,-19.731726,3.036165,2.258570,-0.777595,-25.611092,4.511919,3.646419,-0.865500,-19.182529,1983,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,-0.001692,-0.174874,-0.173182,1.696787,1.465601,0.863750,0.135380,0.000000,0.248304,0.088450,-0.159854,-64.378227,0.906314,0.530385,-0.375929,-41.478863,1.609343,1.008916,-0.600427,-37.308849,2.087056,1.298758,-0.788298,-37.770802,3.184150,1.969042,-1.215107,-38.161121,1983,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106045,0.737615,-0.368431,1.150296,0.891972,0.775428,0.201550,0.000000,0.864980,0.408680,-0.456300,-52.752701,1.682294,1.108200,-0.574094,-34.125641,2.707469,2.156048,-0.551420,-20.366640,3.576682,2.584502,-0.992180,-27.740240,4.655518,3.521620,-1.133897,-24.355988,1983,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.441498,286.657806,0.216309,10.382197,7.160313,0.689672,0.113730,0.000000,288.712952,287.111938,-1.601013,-0.554535,294.751312,292.576416,-2.174896,-0.737875,298.475403,296.332611,-2.142792,-0.717912,299.533417,297.243103,-2.290314,-0.764627,301.934937,298.057312,-3.877625,-1.284258,1984,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,280.100311,280.520721,0.420410,10.169592,7.952037,0.781943,0.133180,0.000000,281.585144,279.617676,-1.967468,-0.698712,288.253784,287.527130,-0.726654,-0.252088,292.684235,292.077332,-0.606903,-0.207358,295.016724,293.315491,-1.701233,-0.576656,296.473267,294.166565,-2.306702,-0.778047,1984,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,956.788879,957.951416,1.162537,72.565628,73.997787,1.019736,0.068440,0.000000,984.333862,987.692261,3.358398,0.341185,1014.622681,1015.980286,1.357605,0.133804,1018.001709,1017.656250,-0.345459,-0.033935,1019.327637,1018.021545,-1.306091,-0.128133,1021.528198,1018.505554,-3.022644,-0.295894,1984,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.361953,0.215485,-0.146468,1.698431,1.444791,0.850662,0.096320,0.000000,0.501754,0.389585,-0.112168,-22.355249,1.253518,0.932051,-0.321467,-25.645176,2.263201,1.727950,-0.535252,-23.650206,2.987243,2.264919,-0.722325,-24.180305,4.397221,3.522287,-0.874933,-19.897415,1984,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,-0.080799,-0.265907,-0.185108,1.893253,1.665760,0.879840,0.168080,0.000000,0.273548,0.139633,-0.133915,-48.954918,0.918249,0.492535,-0.425715,-46.361565,1.607467,0.901093,-0.706374,-43.943302,2.123765,1.198609,-0.925156,-43.562057,3.445437,2.024319,-1.421118,-41.246380,1984,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106106,0.736696,-0.369410,1.150320,0.890818,0.774409,0.201720,0.000000,0.865100,0.408281,-0.456819,-52.805332,1.682411,1.106878,-0.575532,-34.208797,2.707650,2.152638,-0.555012,-20.497906,3.576779,2.580269,-0.996510,-27.860531,4.655518,3.518519,-1.136998,-24.422594,1984,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.129059,286.455505,0.326447,11.111872,7.495054,0.674509,0.127850,0.000000,288.750000,287.099731,-1.650269,-0.571522,294.625671,292.521088,-2.104584,-0.714325,298.813690,296.500732,-2.312958,-0.774047,299.926300,297.536224,-2.390076,-0.796888,302.030792,298.316101,-3.714691,-1.229905,1985,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,279.726807,280.076752,0.349945,10.786402,8.515100,0.789429,0.126690,0.000000,281.472351,279.270660,-2.201691,-0.782205,287.996796,287.493469,-0.503326,-0.174768,293.242126,292.436981,-0.805145,-0.274567,295.681488,293.699493,-1.981995,-0.670314,297.024139,294.546143,-2.477997,-0.834275,1985,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,957.017639,958.149841,1.132202,72.403664,73.831512,1.019721,0.076350,0.000000,984.334900,987.586426,3.251526,0.330327,1014.644531,1016.131104,1.486572,0.146512,1018.442566,1017.742554,-0.700012,-0.068734,1019.585388,1018.127686,-1.457703,-0.142970,1021.121826,1018.782104,-2.339722,-0.229132,1985,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.514883,0.352528,-0.162355,1.803208,1.391378,0.771613,0.084220,0.000000,0.538802,0.522164,-0.016638,-3.087949,1.398521,1.064728,-0.333793,-23.867558,2.496442,1.904592,-0.591850,-23.707729,3.341071,2.441459,-0.899612,-26.925867,5.589886,3.444284,-2.145602,-38.383648,1985,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,-0.061745,-0.180515,-0.118770,1.695234,1.498267,0.883812,0.101960,0.000000,0.193496,0.140837,-0.052659,-27.214537,0.842363,0.568716,-0.273647,-32.485626,1.604829,1.033172,-0.571657,-35.621071,2.160424,1.288023,-0.872401,-40.380997,3.100667,1.788532,-1.312135,-42.317837,1985,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106045,0.737631,-0.368414,1.150296,0.891958,0.775416,0.201550,0.000000,0.864980,0.408680,-0.456300,-52.752701,1.682294,1.108200,-0.574094,-34.125641,2.707469,2.156048,-0.551420,-20.366640,3.576682,2.584502,-0.992180,-27.740240,4.655518,3.521620,-1.133897,-24.355988,1985,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.865234,287.209534,0.344299,10.108970,7.137158,0.706022,0.103620,0.000000,288.932129,287.736694,-1.195435,-0.413742,294.634857,292.873718,-1.761139,-0.597736,298.794922,296.845825,-1.949097,-0.652319,300.187927,297.739868,-2.448059,-0.815509,302.168304,298.458618,-3.709686,-1.227689,1986,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,280.670654,281.056458,0.385803,9.959961,7.902674,0.793444,0.108700,0.000000,281.842590,280.239624,-1.602966,-0.568745,288.377930,287.870453,-0.507477,-0.175976,293.599396,292.630463,-0.968933,-0.330019,295.642578,293.791931,-1.850647,-0.625974,297.152557,294.570648,-2.581909,-0.868883,1986,d2m,2m Dewpoint,K,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,957.078369,958.258911,1.180542,72.385399,73.806374,1.019631,0.071250,0.000000,984.538757,987.890625,3.351868,0.340451,1015.029236,1016.341431,1.312195,0.129277,1018.228516,1017.675598,-0.552917,-0.054302,1019.218018,1018.030518,-1.187500,-0.116511,1020.494995,1018.608643,-1.886353,-0.184847,1986,sp,Surface Pressure,hPa,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,0.417622,0.274031,-0.143592,1.622084,1.348306,0.831219,0.092500,0.000000,0.489337,0.421212,-0.068125,-13.921905,1.264965,0.945159,-0.319807,-25.281858,2.231562,1.692728,-0.538834,-24.146053,3.053988,2.172512,-0.881476,-28.863115,4.390627,3.372940,-1.017687,-23.178625,1986,u10,10m U-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,-0.002027,-0.129685,-0.127659,1.686562,1.431817,0.848956,0.093360,0.000000,0.187044,0.131529,-0.055515,-29.680237,0.827505,0.553156,-0.274349,-33.153793,1.582299,1.092536,-0.489763,-30.952608,2.342693,1.318389,-1.024303,-43.723328,3.695701,1.994901,-1.700799,-46.021023,1986,v10,10m V-Wind,m/s,native_spatial_distribution,Native grids; not paired pixelwise
296100,904924,1.106045,0.737636,-0.368410,1.150296,0.891954,0.775413,0.201550,0.000000,0.864980,0.408680,-0.456300,-52.752701,1.682294,1.108200,-0.574094,-34.125641,2.707469,2.156048,-0.551420,-20.366640,3.576682,2.584502,-0.992180,-27.740240,4.655518,3.521620,-1.133897,-24.355988,1986,lai,Leaf Area Index,Index,native_spatial_distribution,Native grids; not paired pixelwise
296100,904930,286.953766,287.238281,0.284515,9.823860,6.589441,0.670759,0.121940,0.000000,288.810669,287.402618,-1.408051,-0.487534,294.505341,292.361267,-2.144073,-0.728025,298.795624,296.401062,-2.394562,-0.801405,300.333710,297.409119,-2.924591,-0.973781,302.067261,298.283203,-3.784058,-1.252720,1987,t2m,2m Temperature,K,native_spatial_distribution,Native grids; not paired pixelwise
