n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,era5_wet_day_frequency,conus404_wet_day_frequency,wet_day_frequency_difference,era5_mean_wet_day_intensity,conus404_mean_wet_day_intensity,wet_day_intensity_difference,wet_day_intensity_percent_bias,era5_total_precip,conus404_total_precip,total_precip_difference,total_precip_percent_bias,era5_sdii,conus404_sdii,sdii_difference,era5_r10mm,conus404_r10mm,r10mm_difference,era5_r20mm,conus404_r20mm,r20mm_difference,era5_rx1day,conus404_rx1day,rx1day_difference,era5_rx5day,conus404_rx5day,rx5day_difference,era5_r95p_threshold,era5_r95p,conus404_r95p,r95p_difference,r95p_percent_bias,era5_r99p_threshold,era5_r99p,conus404_r99p,r99p_difference,r99p_percent_bias,year,variable,variable_name,units,metric_type,n_days
366,2.307183,2.116265,-0.190917,0.380526,0.469220,0.896446,0.000000,0.803616,0.501419,366,366,-0.190917,0.935783,0.730501,0.780631,0.131148,0.003656,2.210753,2.037659,-0.173094,-7.829631,2.813379,2.623667,-0.189712,-6.743210,3.603647,3.105441,-0.498206,-13.825041,3.986467,3.327939,-0.658528,-16.519089,4.676553,3.669219,-1.007334,-21.540096,93.442623,96.448087,3.005464,2.415777,2.163236,-0.252541,-10.453815,844.428894,774.553101,-69.875793,-8.274917,2.415777,2.163236,-0.252541,0,0,0,0,0,0,5.978471,5.759610,-0.218861,23.600578,20.389999,-3.210579,4.016895,81.112427,15.193808,-65.918617,-81.268211,4.697353,21.575672,10.926491,-10.649181,-49.357353,1980,tp,Precipitation,mm/day,precipitation,366
365,2.279383,2.089673,-0.189710,0.382099,0.474698,0.872992,0.000000,0.762115,0.547150,365,365,-0.189710,0.867583,0.655943,0.756058,0.142466,0.001194,2.251642,2.065982,-0.185660,-8.245532,2.829225,2.492046,-0.337179,-11.917707,3.416403,2.913951,-0.502452,-14.707038,3.808013,3.151083,-0.656931,-17.251276,4.492469,3.722317,-0.770153,-17.143196,91.780822,94.794521,3.013699,2.412511,2.160532,-0.251979,-10.444693,831.974670,762.730469,-69.244202,-8.322873,2.412511,2.160532,-0.251979,0,0,0,0,0,0,5.108357,4.143392,-0.964965,19.072618,15.438744,-3.633874,3.834177,72.187500,8.026892,-64.160606,-88.880493,4.581311,19.235838,0.000000,-19.235838,-100.000000,1981,tp,Precipitation,mm/day,precipitation,365
365,2.563364,2.237007,-0.326357,0.418568,0.515425,0.911419,0.000000,0.830685,0.556062,365,365,-0.326358,0.926920,0.727845,0.785230,0.202740,0.000001,2.513154,2.163411,-0.349743,-13.916486,3.085945,2.628263,-0.457682,-14.831173,3.773580,3.203123,-0.570457,-15.117136,4.149022,3.553045,-0.595978,-14.364289,5.060172,4.169037,-0.891135,-17.610762,96.986301,96.438356,-0.547945,2.617686,2.287704,-0.329981,-12.605841,935.627930,816.507446,-119.120483,-12.731608,2.617686,2.287704,-0.329981,0,0,0,0,0,0,6.225692,5.341842,-0.883851,20.847759,17.962402,-2.885357,4.154032,86.669189,19.000736,-67.668457,-78.076714,5.095790,23.673153,5.341842,-18.331310,-77.435013,1982,tp,Precipitation,mm/day,precipitation,365
365,2.786074,2.548699,-0.237374,0.387196,0.493394,0.900185,0.000000,0.810334,0.509390,365,365,-0.237374,0.968598,0.776265,0.801431,0.134247,0.002751,2.609471,2.451391,-0.158080,-6.057945,3.372569,3.056540,-0.316029,-9.370575,4.099508,3.559052,-0.540456,-13.183435,4.568395,4.064031,-0.504364,-11.040289,5.294487,4.634135,-0.660352,-12.472450,98.630137,99.178082,0.547945,2.814693,2.562414,-0.252279,-8.962915,1016.916931,930.275269,-86.641663,-8.520033,2.814693,2.562414,-0.252279,0,0,0,0,0,0,6.628378,5.314579,-1.313799,23.519834,19.961395,-3.558439,4.571952,91.272896,24.366299,-66.906601,-73.303909,5.301489,23.535351,5.314579,-18.220772,-77.418739,1983,tp,Precipitation,mm/day,precipitation,365
366,2.445790,2.181904,-0.263886,0.384660,0.483619,0.895609,0.000000,0.802115,0.551207,366,366,-0.263886,0.877382,0.676615,0.771175,0.218579,0.000000,2.414312,2.211361,-0.202951,-8.406150,2.984187,2.523894,-0.460292,-15.424382,3.561924,2.951457,-0.610467,-17.138687,4.009551,3.394024,-0.615527,-15.351518,4.700702,4.104096,-0.596606,-12.691845,95.628415,95.901639,0.273224,2.521848,2.239559,-0.282290,-11.193755,895.159119,798.576782,-96.582336,-10.789404,2.521848,2.239559,-0.282290,0,0,0,0,0,0,5.647811,4.580779,-1.067033,19.869151,17.570159,-2.298992,4.031345,79.886284,21.462143,-58.424141,-73.134132,4.738139,20.473368,0.000000,-20.473368,-100.000000,1984,tp,Precipitation,mm/day,precipitation,366
365,2.384433,2.040514,-0.343919,0.413313,0.510289,0.922935,0.000000,0.851809,0.553221,365,365,-0.343919,0.922397,0.724697,0.785668,0.232877,0.000000,2.410716,2.029097,-0.381619,-15.830108,3.012018,2.504265,-0.507753,-16.857571,3.540327,2.987222,-0.553105,-15.622990,4.022204,3.340012,-0.682193,-16.960670,4.397119,3.836973,-0.560146,-12.738939,93.972603,92.876712,-1.095890,2.488735,2.135315,-0.353420,-14.200791,870.318115,744.787720,-125.530396,-14.423507,2.488735,2.135315,-0.353420,0,0,0,0,0,0,4.949190,4.693241,-0.255949,20.061747,16.497880,-3.563866,4.035828,77.168053,8.887947,-68.280106,-88.482353,4.412534,18.644842,4.693241,-13.951601,-74.828209,1985,tp,Precipitation,mm/day,precipitation,365
365,2.485241,2.112561,-0.372681,0.455405,0.554346,0.883504,0.000000,0.780580,0.661952,365,365,-0.372681,0.837441,0.619354,0.739579,0.284932,0.000000,2.477673,2.040526,-0.437147,-17.643463,3.051197,2.435342,-0.615855,-20.184031,3.624775,2.987798,-0.636977,-17.572868,3.946998,3.296929,-0.650068,-16.469944,4.445345,3.756824,-0.688521,-15.488581,97.808219,98.630137,0.821918,2.522553,2.129977,-0.392576,-15.562656,907.113098,771.084656,-136.028442,-14.995752,2.522553,2.129977,-0.392576,0,0,0,0,0,0,4.897513,3.936447,-0.961066,19.806676,16.622973,-3.183703,3.961262,77.398865,0.000000,-77.398865,-100.000000,4.446936,18.843479,0.000000,-18.843479,-100.000000,1986,tp,Precipitation,mm/day,precipitation,365
365,2.329738,2.031393,-0.298345,0.410299,0.513708,0.871526,0.000000,0.759557,0.618383,365,365,-0.298346,0.830727,0.629371,0.757614,0.216438,0.000000,2.276872,1.993788,-0.283084,-12.433025,2.803797,2.377842,-0.425954,-15.192047,3.277841,2.844301,-0.433540,-13.226394,3.872334,3.168431,-0.703903,-18.177752,4.690068,3.703612,-0.986455,-21.032862,96.164384,97.534247,1.369863,2.389257,2.060248,-0.329009,-13.770329,850.354492,741.458374,-108.896118,-12.805966,2.389257,2.060248,-0.329009,0,0,0,0,0,0,4.952879,4.220777,-0.732103,20.111753,16.147798,-3.963956,3.911707,78.971466,4.220777,-74.750687,-94.655312,4.692523,19.301611,0.000000,-19.301611,-100.000000,1987,tp,Precipitation,mm/day,precipitation,365
366,2.223869,1.948081,-0.275787,0.384134,0.480536,0.909888,0.000000,0.827897,0.530012,366,366,-0.275787,0.906652,0.709262,0.782287,0.180328,0.000013,2.143635,1.879814,-0.263821,-12.307195,2.882927,2.414232,-0.468696,-16.257629,3.319438,2.821505,-0.497933,-15.000525,3.619382,3.108140,-0.511242,-14.125129,4.514399,3.852587,-0.661813,-14.660036,91.530055,91.803279,0.273224,2.362274,2.051820,-0.310455,-13.142192,813.936035,712.997803,-100.938232,-12.401249,2.362274,2.051820,-0.310455,0,0,0,0,0,0,5.922762,4.945949,-0.976813,20.704981,18.250044,-2.454937,3.665496,72.792892,28.627136,-44.165756,-60.673172,4.554889,21.017376,4.945949,-16.071426,-76.467331,1988,tp,Precipitation,mm/day,precipitation,366
365,2.244988,1.989552,-0.255436,0.352795,0.441683,0.899306,0.000000,0.808752,0.547827,365,365,-0.255436,0.806245,0.650772,0.807164,0.178082,0.000018,2.200741,1.987421,-0.213320,-9.693101,2.808677,2.424826,-0.383851,-13.666614,3.341145,2.788546,-0.552599,-16.539207,3.568954,3.017265,-0.551690,-15.458025,4.021718,3.813692,-0.208026,-5.172570,95.342466,94.520548,-0.821918,2.316639,2.057516,-0.259123,-11.185313,819.420593,726.186462,-93.234131,-11.378056,2.316639,2.057516,-0.259123,0,0,0,0,0,0,4.982683,4.064284,-0.918399,17.852423,15.212986,-2.639437,3.609303,71.562393,23.445663,-48.116730,-67.237450,4.025498,18.033283,8.109247,-9.924036,-55.031776,1989,tp,Precipitation,mm/day,precipitation,365
