n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,season,variable,variable_name,units
91,276.461182,276.569092,0.107961,0.577032,0.718847,0.967461,0.000000,0.935981,0.307470,91,91,0.107910,2.337944,1.867968,0.798979,0.120879,0.521725,276.488892,276.684601,0.195709,0.070784,278.154022,278.088837,-0.065186,-0.023435,279.512817,278.889557,-0.623260,-0.222981,279.992615,279.252014,-0.740601,-0.264507,280.610199,279.721985,-0.888214,-0.316530,1980,Winter,t2m,2m Temperature,K
92,284.905304,284.447754,-0.457570,0.578339,0.706035,0.994812,0.000000,0.989650,0.153926,92,92,-0.457550,4.586862,4.295929,0.936573,0.108696,0.651538,284.438019,284.210938,-0.227081,-0.079835,288.324554,287.718201,-0.606354,-0.210303,290.744049,289.908356,-0.835693,-0.287433,291.600494,290.516632,-1.083862,-0.371694,292.599426,291.075409,-1.524017,-0.520855,1980,Spring,t2m,2m Temperature,K
92,295.179565,294.153015,-1.026562,1.026562,1.062683,0.987358,0.000000,0.974875,0.637373,92,92,-1.026550,1.667285,1.571214,0.942379,0.358696,0.000012,295.413086,294.492004,-0.921082,-0.311794,296.573883,295.352539,-1.221344,-0.411818,297.069733,295.738708,-1.331024,-0.448051,297.224457,295.998871,-1.225586,-0.412344,297.442657,296.447723,-0.994934,-0.334496,1980,Summer,t2m,2m Temperature,K
91,286.910919,286.793335,-0.117569,0.501308,0.607748,0.996651,0.000000,0.993314,0.123657,91,91,-0.117584,4.914782,4.457842,0.907027,0.087912,0.876095,286.490143,286.574829,0.084686,0.029560,291.434326,290.553772,-0.880554,-0.302145,292.708405,292.278015,-0.430389,-0.147037,294.211243,293.515930,-0.695312,-0.236331,294.880524,293.919586,-0.960938,-0.325873,1980,Autumn,t2m,2m Temperature,K
91,271.385712,272.423553,1.037841,1.094625,1.236610,0.976280,0.000000,0.953123,0.481769,91,91,1.037842,2.566810,2.127451,0.828831,0.241758,0.009575,271.346130,272.544952,1.198822,0.441805,273.206604,273.898193,0.691589,0.253138,274.956329,275.008606,0.052277,0.019013,275.888062,275.806244,-0.081818,-0.029656,276.780304,276.888672,0.108368,0.039153,1980,Winter,d2m,2m Dewpoint,K
92,277.661560,278.597687,0.936165,0.974236,1.093393,0.989991,0.000000,0.980082,0.277103,92,92,0.936127,3.945799,4.001110,1.014018,0.184783,0.086376,276.751801,278.121338,1.369537,0.494861,281.071442,282.172058,1.100616,0.391579,283.170593,283.826874,0.656281,0.231762,283.822266,284.222687,0.400421,0.141082,284.244019,284.736420,0.492401,0.173232,1980,Spring,d2m,2m Dewpoint,K
92,287.331787,287.237274,-0.094559,0.301837,0.353662,0.985349,0.000000,0.970912,0.204503,92,92,-0.094513,1.729373,1.533330,0.886639,0.141304,0.318630,287.926208,287.793945,-0.132263,-0.045936,288.698608,288.426575,-0.272034,-0.094228,289.048492,288.761078,-0.287415,-0.099435,289.132690,288.874237,-0.258453,-0.089389,289.290985,288.963104,-0.327881,-0.113339,1980,Summer,d2m,2m Dewpoint,K
91,280.413300,281.395142,0.981836,0.997966,1.153512,0.995298,0.000000,0.990618,0.258719,91,91,0.981842,4.458560,4.013228,0.900118,0.164835,0.169060,279.911957,281.219391,1.307434,0.467088,284.534180,285.057495,0.523315,0.183920,286.668701,286.583038,-0.085663,-0.029882,287.468628,287.615387,0.146759,0.051052,287.782043,288.011444,0.229401,0.079713,1980,Autumn,d2m,2m Dewpoint,K
91,956.645325,96753.539062,95796.898438,95796.898438,95797.398438,0.968251,0.000000,0.937510,27255.011719,91,91,95796.890625,3.514854,314.092072,89.361328,1.000000,0.000000,956.961670,96786.914062,95829.953125,10013.979492,959.435303,96975.960938,96016.523438,10007.607422,960.836975,97119.062500,96158.226562,10007.756836,961.169312,97180.742188,96219.570312,10010.678711,964.878113,97370.242188,96405.367188,9991.456055,1980,Winter,sp,Surface Pressure,hPa
92,954.470337,96589.046875,95634.562500,95634.562500,95634.750000,0.940224,0.000000,0.884022,41473.515625,92,92,95634.578125,2.305923,188.702393,81.833763,1.000000,0.000000,954.192261,96578.015625,95623.820312,10021.441406,955.992126,96701.187500,95745.195312,10015.270508,957.323608,96799.382812,95842.062500,10011.458984,958.088196,96893.656250,95935.570312,10013.229492,960.626160,97021.859375,96061.234375,9999.855469,1980,Spring,sp,Surface Pressure,hPa
92,955.624634,96644.351562,95688.742188,95688.742188,95688.820312,0.965830,0.000000,0.932827,63795.222656,92,92,95688.726562,1.499937,130.707611,87.142067,1.000000,0.000000,955.668335,96637.031250,95681.359375,10011.984375,956.400513,96716.695312,95760.296875,10012.573242,957.689331,96819.742188,95862.054688,10009.722656,958.016785,96834.906250,95876.890625,10007.850586,958.874146,96939.218750,95980.343750,10009.691406,1980,Summer,sp,Surface Pressure,hPa
