variable,variable_name,metric_type,ks_statistic,ks_pvalue,mean_difference,std_ratio,p50_difference,p75_difference,p90_difference,p95_difference,p99_difference,p50_percent_bias,p75_percent_bias,p90_percent_bias,p95_percent_bias,p99_percent_bias,summary_type,bias,mae,rmse,pearson_r,r_squared,nrmse,wet_day_frequency_difference,wet_day_intensity_difference,wet_day_intensity_percent_bias,total_precip_percent_bias,r10mm_difference,r20mm_difference,rx1day_difference,rx5day_difference,r95p_difference,r95p_percent_bias,r99p_difference,r99p_percent_bias,wind_p95_difference,wind_p99_difference,wind_p95_percent_bias,wind_p99_percent_bias
d2m,2m Dewpoint,native_spatial_distribution,0.126837,0.000000,0.473236,0.786753,-1.754913,-0.650665,-0.779483,-1.941707,-2.461494,-0.623408,-0.225612,-0.265666,-0.656390,-0.828117,annual_mean,,,,,,,,,,,,,,,,,,,,,,
lai,Leaf Area Index,native_spatial_distribution,0.201268,0.000000,-0.367232,0.776686,-0.455831,-0.572461,-0.547363,-0.987130,-1.129720,-52.696491,-34.027985,-20.216419,-27.598835,-24.266266,annual_mean,,,,,,,,,,,,,,,,,,,,,,
sp,Surface Pressure,native_spatial_distribution,0.067727,0.000000,1.144189,1.019599,3.293755,1.356128,-0.448619,-1.351007,-2.598530,0.334598,0.133647,-0.044060,-0.132512,-0.254363,annual_mean,,,,,,,,,,,,,,,,,,,,,,
t2m,2m Temperature,native_spatial_distribution,0.116378,0.000000,0.217270,0.682871,-1.558970,-2.088273,-2.301002,-2.645238,-4.048487,-0.539185,-0.707896,-0.769056,-0.880199,-1.337101,annual_mean,,,,,,,,,,,,,,,,,,,,,,
u10,10m U-Wind,native_spatial_distribution,0.087728,0.000000,-0.155462,0.844931,-0.077737,-0.308225,-0.489590,-0.825300,-1.179828,-15.098540,-23.557148,-21.076073,-26.187185,-24.837559,annual_mean,,,,,,,,,,,,,,,,,,,,,,
v10,10m V-Wind,native_spatial_distribution,0.119156,0.000000,-0.147706,0.875201,-0.077548,-0.314480,-0.577557,-0.890799,-1.513757,-37.408096,-36.639412,-35.776035,-39.930416,-43.483997,annual_mean,,,,,,,,,,,,,,,,,,,,,,
d2m,2m Dewpoint,temporal_spatial_mean,0.085291,0.180798,0.766373,0.941976,1.176084,0.360359,0.078695,-0.025149,-0.156512,0.421087,0.126105,0.027308,-0.008663,-0.054023,annual_mean,0.744067,0.836079,1.013520,0.996367,0.992747,0.154462,,,,,,,,,,,,,,,,
lai,Leaf Area Index,temporal_spatial_mean,0.653608,0.000000,-0.472538,1.116970,-0.491310,-0.440611,-0.415105,-0.412567,-0.410974,-47.454391,-31.050026,-26.372543,-25.803520,-25.381847,annual_mean,-0.473667,0.473667,0.475023,0.999115,0.998231,1.656156,,,,,,,,,,,,,,,,
sp,Surface Pressure,temporal_spatial_mean,0.961611,0.000000,10.881614,0.875276,10.859652,10.651267,10.491595,10.285552,9.976330,1.135810,1.111927,1.093225,1.070384,1.035822,annual_mean,10.881916,10.881916,10.908735,0.965984,0.933158,3.924399,,,,,,,,,,,,,,,,
t2m,2m Temperature,temporal_spatial_mean,0.099036,0.094907,-0.375683,0.943697,-0.374617,-0.805488,-0.827427,-0.912022,-1.034230,-0.130605,-0.274533,-0.279634,-0.307622,-0.348161,annual_mean,-0.403267,0.671741,0.794193,0.997242,0.994491,0.108690,,,,,,,,,,,,,,,,
u10,10m U-Wind,temporal_spatial_mean,0.257900,0.000000,-0.334214,0.789967,-0.356234,-0.443079,-0.497468,-0.541543,-0.634413,-85.954033,-49.913933,-36.700092,-32.556038,-28.592699,annual_mean,-0.332561,0.397777,0.477882,0.877340,0.770001,0.682206,,,,,,,,,,,,,,,,
v10,10m V-Wind,temporal_spatial_mean,0.328229,0.000000,-0.408622,0.778396,-0.429843,-0.544035,-0.595577,-0.613098,-0.630489,-19506.232422,-122.038399,-74.930428,-62.076893,-46.977966,annual_mean,-0.408948,0.508909,0.603781,0.760652,0.579806,0.890312,,,,,,,,,,,,,,,,
tp,Precipitation,precipitation,0.142496,0.044022,,,,,,,,,,,,,annual_mean,-0.198585,0.368545,0.465070,0.897413,0.805528,0.507950,1.134998,-0.228982,-9.252427,-8.307262,0.000000,0.000000,-0.866163,-2.540331,-57.657185,-71.604080,-18.132471,-85.329742,,,,
wind_speed,10m Wind Speed,derived_wind_speed,0.159476,0.019081,,,,,,,,,,,,,annual_mean,-0.165559,0.402139,0.496014,0.552880,0.309695,0.945617,,,,,,,,,,,,,-0.311041,-0.461103,-15.885262,-18.510324
