n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,variable,variable_name,units,metric_type,n_matched
366,285.887085,285.511627,-0.375449,0.671530,0.793400,0.997719,0.000000,0.995444,0.104493,366,366,-0.375458,7.592839,7.100296,0.935131,0.090164,0.102043,286.191589,286.011200,-0.180389,-0.063031,292.671417,291.978943,-0.692474,-0.236605,295.854889,294.814270,-1.040619,-0.351733,296.604736,295.485840,-1.118896,-0.377235,297.248322,296.038300,-1.210022,-0.407074,1980,t2m,2m Temperature,K,temporal_spatial_mean,366
366,279.216095,279.929810,0.713711,0.841051,1.021270,0.996037,0.000000,0.992091,0.153943,366,366,0.713715,6.634077,6.177088,0.931115,0.071038,0.314508,278.657898,280.319397,1.661499,0.596250,285.453705,285.733765,0.280060,0.098110,288.202423,288.072876,-0.129547,-0.044950,288.788544,288.499756,-0.288788,-0.100000,289.189087,288.895020,-0.294067,-0.101687,1980,d2m,2m Dewpoint,K,temporal_spatial_mean,366
366,955.773560,966.710022,10.936518,10.936518,10.964904,0.962477,0.000000,0.926363,4.027205,366,366,10.936462,2.722708,2.345213,0.861353,0.964481,0.000000,955.558472,966.634277,11.075806,1.159092,957.451721,968.092957,10.641235,1.111412,959.472290,969.746338,10.274048,1.070802,960.568176,970.701782,10.133606,1.054960,961.945007,972.020203,10.075195,1.047377,1980,sp,Surface Pressure,hPa,temporal_spatial_mean,366
366,0.550998,0.201251,-0.349747,0.399687,0.472194,0.861139,0.000000,0.741560,0.757994,366,366,-0.349747,0.622952,0.517711,0.831062,0.265027,0.000000,0.508904,0.167582,-0.341322,-67.070038,0.943720,0.488043,-0.455677,-48.285164,1.316108,0.924187,-0.391921,-29.778801,1.621946,1.141415,-0.480531,-29.626810,2.222445,1.628163,-0.594282,-26.739988,1980,u10,10m U-Wind,m/s,temporal_spatial_mean,366
366,-0.106710,-0.437836,-0.331126,0.490258,0.586121,0.782552,0.000000,0.612388,0.756986,366,366,-0.331126,0.774282,0.566994,0.732283,0.284153,0.000000,-0.041573,-0.425446,-0.383873,-923.374573,0.451319,-0.044929,-0.496248,-109.955139,0.844865,0.255593,-0.589271,-69.747437,1.011785,0.412890,-0.598895,-59.191891,1.466748,0.919354,-0.547394,-37.320240,1980,v10,10m V-Wind,m/s,temporal_spatial_mean,366
366,1.135380,0.661577,-0.473804,0.473804,0.475155,0.999109,0.000000,0.998219,1.656753,366,366,-0.473804,0.286799,0.320254,1.116649,0.655738,0.000000,1.034590,0.538959,-0.495632,-47.906082,1.417773,0.976069,-0.441704,-31.154772,1.574003,1.158577,-0.415426,-26.392960,1.598859,1.186173,-0.412686,-25.811260,1.619156,1.208160,-0.410996,-25.383333,1980,lai,Leaf Area Index,Index,temporal_spatial_mean,366
365,286.259857,285.981079,-0.278747,0.643027,0.777660,0.996842,0.000000,0.993694,0.109306,365,365,-0.278778,7.114537,6.636116,0.932754,0.082192,0.169891,286.300995,285.817078,-0.483917,-0.169024,293.457458,292.240601,-1.216858,-0.414662,295.582031,294.880951,-0.701080,-0.237186,296.200043,295.202362,-0.997681,-0.336827,296.676514,295.671936,-1.004578,-0.338610,1981,t2m,2m Temperature,K,temporal_spatial_mean,365
365,279.816559,280.627533,0.810977,0.909015,1.112115,0.996644,0.000000,0.993299,0.170655,365,365,0.810974,6.516757,5.952188,0.913366,0.093151,0.084223,279.827423,280.837677,1.010254,0.361027,286.560181,286.343170,-0.217010,-0.075729,288.492920,288.417694,-0.075226,-0.026075,289.012024,288.873840,-0.138184,-0.047812,289.506958,289.298218,-0.208740,-0.072102,1981,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,955.665039,966.557556,10.892512,10.892512,10.920797,0.975429,0.000000,0.951462,3.452566,365,365,10.892517,3.163096,2.722948,0.860849,0.931507,0.000000,955.652954,966.583618,10.930664,1.143790,957.341187,967.986816,10.645630,1.112000,959.402771,969.693298,10.290527,1.072597,961.017151,971.584717,10.567566,1.099623,963.586975,973.417358,9.830383,1.020186,1981,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.530696,0.201287,-0.329409,0.393931,0.472015,0.899035,0.000000,0.808263,0.637530,365,365,-0.329409,0.740381,0.569791,0.769592,0.243836,0.000000,0.495893,0.134419,-0.361474,-72.893555,1.018038,0.603951,-0.414087,-40.675018,1.504888,0.956149,-0.548739,-36.463787,1.738968,1.226508,-0.512459,-29.469177,2.286578,1.530191,-0.756387,-33.079426,1981,u10,10m U-Wind,m/s,temporal_spatial_mean,365
